StationName,StreetNumber,StreetName,Suburb,PostCode,State,EntranceType,EntranceLatitude,EntranceLongitude,ExitNumber,StopID
Bedford,1,Bedford Crescent,Dulwich Hill,2203,New South Wales,Stairs,-33.910671,151.140584,NULL,255
Bedford,3,Bedford Crescent,Dulwich Hill,2203,New South Wales,Lift,-33.910626,151.140555,NULL,256
Station,28,Station Street,Dundas,2117,New South Wales,Path,-33.804026,151.033110,NULL,257
Kissing Point,57,Kissing Point Road,Dundas,2117,New South Wales,Ramp,-33.803883,151.032917,NULL,258
Kissing Point,57,Kissing Point Road,Dundas,2117,New South Wales,Stairs,-33.803894,151.032895,NULL,259
Kissing Point,NULL,NULL,Dundas,2117,New South Wales,Path,-33.803397,151.032467,NULL,260
Brown,4,Brown Street,Dungog,2420,New South Wales,Ramp,-32.402557,151.759385,NULL,261
Brown,4,Brown Street,Dungog,2420,New South Wales,Stairs,-32.402493,151.759251,NULL,262
Thompson,3,Thompson Lane,East Hills,2213,New South Wales,Path,-33.962011,150.984726,NULL,263
Park,96,Park Road,East Hills,2213,New South Wales,Ramp,-33.961573,150.984449,NULL,264
Park,96,Park Road,East Hills,2213,New South Wales,Stairs,-33.961642,150.984343,NULL,265
Park,96,Park Road,East Hills,2213,New South Wales,Ramp,-33.961730,150.984255,NULL,266
Melbourne,NULL,Melbourne Street,East Maitland,2323,New South Wales,Stairs,-32.744572,151.587474,NULL,267
Bourke,32,Bourke Street,Richmond,2753,New South Wales,Ramp,-33.601803,150.758829,NULL,268
Bourke,32,Bourke Street,Richmond,2753,New South Wales,Stairs,-33.601745,150.758729,NULL,269
Railway,27,Railway Parade,Eastwood,2122,New South Wales,Ramp,-33.789929,151.082667,NULL,270
Railway,20,Railway Parade,Eastwood,2122,New South Wales,Ramp,-33.790410,151.082636,NULL,271
Railway,20,Railway Parade,Eastwood,2122,New South Wales,Lift,-33.790170,151.082563,NULL,272
West,2C,Railway Parade,Eastwood,2122,New South Wales,Lift,-33.790149,151.082002,NULL,273
West,2C,Railway Parade,Eastwood,2122,New South Wales,Path,-33.790148,151.081972,NULL,274
New South Head,180,New South Head Road,Edgecliff,2027,New South Wales,Path,-33.878936,151.236154,NULL,275
Soliders,4,Henderson Road,Edmondson Park,2174,New South Wales,Lift,-33.969304,150.858864,NULL,276
Soliders,4,Henderson Road,Edmondson Park,2174,New South Wales,Stairs,-33.969362,150.858844,NULL,277
Old Bathurst,4,Mackellar Street,Emu Plains,2750,New South Wales,Stairs,-33.745777,150.671412,NULL,278
Mackellar,4,Mackellar Street,Emu Plains,2750,New South Wales,Stairs,-33.745524,150.671380,NULL,279
Old Bathurst,4,Mackellar Street,Emu Plains,2750,New South Wales,Lift,-33.745827,150.671332,NULL,280
Mackellar,4,Mackellar Street,Emu Plains,2750,New South Wales,Lift,-33.745657,150.671283,NULL,281
Princes,2,Station Street,Engadine,2233,New South Wales,Ramp,-34.067539,151.014842,NULL,282
Princes,2,Station Street,Engadine,2233,New South Wales,Ramp,-34.067195,151.014735,NULL,283
Princes,35,A1,Engadine,2233,New South Wales,Lift,-34.067769,151.014681,NULL,284
Princes,35-37,Princes Highway,Engadine,2233,New South Wales,Lift,-34.067381,151.014551,NULL,285
Langston,NULL,Beecroft Road,Epping,2121,New South Wales,Path,-33.772548,151.082278,NULL,286
Beecroft,49,Beecroft Road,Epping,2121,New South Wales,Stairs,-33.772841,151.081872,NULL,287
Beecroft,56,Beecroft Road,Epping,2121,New South Wales,Lift,-33.772652,151.081804,NULL,288
Beecroft,53,Beecroft Road,Epping,2121,New South Wales,Stairs,-33.772915,151.081640,NULL,289
Beecroft,NULL,NULL,Epping,2121,New South Wales,Lift,-33.772720,151.081567,NULL,290
Erskineville,11,Swanson Street,Erskineville,2043,New South Wales,Path,-33.900053,151.185556,NULL,291
Ringwood,1,Bundanoon Road,Exeter,2579,New South Wales,Path,-34.613466,150.317799,NULL,292
Bundanoon,NULL,NULL,Exeter,2579,New South Wales,Path,-34.613377,150.317359,NULL,293
Darling,270,Pyrmont Street,Sydney,2000,New South Wales,Ramp,-33.876778,151.199475,NULL,294
Pyrmont,456B,Harris Street,Ultimo,2007,New South Wales,Stairs,-33.876787,151.199250,NULL,295
Dale,NULL,NULL,Fairfield,2165,New South Wales,Path,-33.872552,150.957049,NULL,296
Dale,52,The Crescent,Fairfield,2165,New South Wales,Stairs,-33.872509,150.957006,NULL,297
The Crescent,52,The Crescent,Fairfield,2165,New South Wales,Path,-33.872282,150.956899,NULL,298
The Crescent,52-68,The Crescent,Fairfield,2165,New South Wales,Stairs,-33.872389,150.956864,NULL,299
Dale,NULL,NULL,Fairfield,2165,New South Wales,Lift,-33.872644,150.956818,NULL,300
The Crescent,NULL,NULL,Fairfield,2165,New South Wales,Lift,-33.872497,150.956712,NULL,301
Elliotts,2,Montague Street,Fairy Meadow,2519,New South Wales,Stairs,-34.395096,150.896577,NULL,302
Elliotts,62,Rann Street,Fairy Meadow,2519,New South Wales,Stairs,-34.395059,150.896452,NULL,303
Tucker,17,Fassifern Road,Fassifern,2283,New South Wales,Ramp,-32.985674,151.581208,NULL,304
Tucker,17,Fassifern Road,Fassifern,2283,New South Wales,Stairs,-32.985681,151.581175,NULL,305
Tucker,4,Wallsend Road,Fassifern,2283,New South Wales,Ramp,-32.985576,151.580841,NULL,306
Great Western,NULL,NULL,Faulconbridge,2776,New South Wales,Ramp,-33.696816,150.534935,NULL,307
Great Western,NULL,NULL,Faulconbridge,2776,New South Wales,Stairs,-33.696780,150.534926,NULL,308
Great Western,24B,Sir Henrys Parade,Faulconbridge,2776,New South Wales,Stairs,-33.696540,150.534819,NULL,309
Great Western,607,Great Western Highway,Faulconbridge,2776,New South Wales,Stairs,-33.696331,150.534567,NULL,310
Great Western,NULL,NULL,Faulconbridge,2776,New South Wales,Ramp,-33.696369,150.534430,NULL,311
Miller,55,Miller Street,Pyrmont,2009,New South Wales,Path,-33.870463,151.192178,NULL,312
Miller,1,Saunders Street,Pyrmont,2009,New South Wales,Path,-33.870768,151.191652,NULL,313
The Crescent,96,The Crescent,Homebush West,2140,New South Wales,Stairs,-33.865154,151.070676,NULL,314
The Crescent,318,Parramatta Road,Homebush West,2140,New South Wales,Stairs,-33.863892,151.070239,NULL,315
Belinda,18,Belinda Street,Gerringong,2534,New South Wales,Ramp,-34.744778,150.817650,NULL,316
Burton,4,Burton Street,Glebe,2037,New South Wales,Stairs,-33.877076,151.187564,NULL,317
Bayview,5030,Palmerston Avenue,Glebe,2037,New South Wales,Ramp,-33.877294,151.187253,NULL,318
Burfitt,5B,Burfitt Parade,Glenbrook,2773,New South Wales,Ramp,-33.769026,150.621263,NULL,319
Railway,104,Railway Parade,Glenfield,2167,New South Wales,Stairs,-33.972077,150.893577,NULL,320
service road,90,Railway Parade,Glenfield,2167,New South Wales,Stairs,-33.971739,150.893269,NULL,321
Railway,108,Railway Parade,Glenfield,2167,New South Wales,Lift,-33.972286,150.893255,NULL,322
service road,104,Railway Parade,Glenfield,2167,New South Wales,Lift,-33.971830,150.893173,NULL,323
Railway,102,Railway Parade,Glenfield,2167,New South Wales,Stairs,-33.972475,150.893125,NULL,324
Werona,77,Werona Avenue,Gordon,2072,New South Wales,Ramp,-33.755984,151.154864,NULL,325
Werona,87,Werona Avenue,Gordon,2072,New South Wales,Ramp,-33.755350,151.154396,NULL,326
St Johns,3,Werona Avenue,Gordon,2072,New South Wales,Stairs,-33.756120,151.154175,NULL,327
St Johns,1-5,Saint Johns Avenue,Gordon,2072,New South Wales,Ramp,-33.755964,151.154096,NULL,328
Wade,3,Wade Lane,Gordon,2072,New South Wales,Ramp,-33.755682,151.153977,NULL,329
Burns,6,Burns Crescent,Gosford,2250,New South Wales,Lift,-33.423480,151.341944,NULL,330
Burns,6,Burns Crescent,Gosford,2250,New South Wales,Stairs,-33.423481,151.341911,NULL,331
Showground,40,Showground Road,Gosford,2250,New South Wales,Stairs,-33.423330,151.341414,NULL,332
Showground,38,Showground Road,Gosford,2250,New South Wales,Path,-33.423383,151.341401,NULL,333
Sloane,NULL,Sloane Street,Goulburn,2580,New South Wales,Path,-34.759019,149.720588,NULL,334
Park,171,Sloane Street,Goulburn,2580,New South Wales,Path,-34.758126,149.719249,NULL,335
Memorial,9A,South Street,Granville,2142,New South Wales,Ramp,-33.832776,151.011491,NULL,336
Memorial,7-9,South Street,Granville,2142,New South Wales,Ramp,-33.832900,151.011405,NULL,337
Botany,NULL,NULL,Zetland,2017,New South Wales,Stairs,-33.905966,151.203077,NULL,338
Botany,297,Botany Road,Waterloo,2017,New South Wales,Stairs,-33.905818,151.203031,NULL,339
O'Riordan,318B,Botany Road,Alexandria,2015,New South Wales,Escalators,-33.906278,151.202693,NULL,340
O'Riordan,312,Botany Road,Alexandria,2015,New South Wales,Lift,-33.906214,151.202540,NULL,341
Nelson,2B,Nelson Street,Greta,2334,New South Wales,Ramp,-32.686787,151.384282,NULL,342
Mansfield,2B,Mansfield Street,Greta,2334,New South Wales,Ramp,-32.686675,151.384053,NULL,343
Railway,318,Railway Terrace,Guildford,2161,New South Wales,Ramp,-33.854233,150.984682,NULL,344
Military,121,Military Road,Guildford,2161,New South Wales,Ramp,-33.853822,150.984647,NULL,345
Railway,318,Railway Terrace,Guildford,2161,New South Wales,Stairs,-33.854449,150.984595,NULL,346
Railway,322,Railway Terrace,Guildford,2161,New South Wales,Lift,-33.854568,150.984486,NULL,347
Military,126,Military Road,Guildford,2161,New South Wales,Ramp,-33.854167,150.984403,NULL,348
Military,126,Military Road,Guildford,2161,New South Wales,Stairs,-33.854257,150.984328,NULL,349
Military,128,Military Road,Guildford,2161,New South Wales,Stairs,-33.854330,150.984277,NULL,350
Military,132,Military Road,Guildford,2161,New South Wales,Lift,-33.854492,150.984227,NULL,351
Gymea Bay,57B,Gymea Bay Road,Gymea,2227,New South Wales,Lift,-34.034907,151.085208,NULL,352
Gymea Bay,57B,Gymea Bay Road,Gymea,2227,New South Wales,Stairs,-34.034870,151.085182,NULL,353
Beaumont,6,Beaumont Street,Islington,2296,New South Wales,Stairs,-32.918025,151.748511,NULL,354
Beaumont,1A,Beaumont Street,Hamilton,2303,New South Wales,Ramp,-32.918530,151.748397,NULL,355
Beaumont,1A,Beaumont Street,Hamilton,2303,New South Wales,Stairs,-32.918385,151.748269,NULL,356
Beaumont,1A,Beaumont Street,Hamilton,2303,New South Wales,Ramp,-32.918418,151.748255,NULL,357
Marion,46A,Wigram Street,Harris Park,2150,New South Wales,Ramp,-33.823357,151.007932,NULL,358
Station W,21,Station Street West,Parramatta,2150,New South Wales,Stairs,-33.823262,151.007463,NULL,359
Danger,10,Dangar Road,Brooklyn,2083,New South Wales,Stairs,-33.547008,151.226715,NULL,360
Danger,8,Dangar Road,Brooklyn,2083,New South Wales,Stairs,-33.547101,151.226598,NULL,361
Darley,2,Darley Road,Leichhardt,2040,New South Wales,Path,-33.879582,151.147550,NULL,362
Darley,26,Darley Road,Leichhardt,2040,New South Wales,Path,-33.879500,151.147106,NULL,363
Great Western,186,Great Western Highway,Hazelbrook,2779,New South Wales,Stairs,-33.723530,150.454573,NULL,364
Great Western,183-186,Great Western Highway,Hazelbrook,2779,New South Wales,Ramp,-33.723086,150.454017,NULL,365
Railway,40,Railway Parade,Hazelbrook,2779,New South Wales,Path,-33.723673,150.453967,NULL,366
Wilson,126,Wilson Parade,Royal National Park,2233,New South Wales,Path,-34.087924,151.008429,NULL,367
Wilson,126,Wilson Parade,Royal National Park,2233,New South Wales,Ramp,-34.087939,151.008414,NULL,368
Princes,1349,A1,Heathcote,2233,New South Wales,Ramp,-34.087785,151.008298,NULL,369
Princes,1350,A1,Heathcote,2233,New South Wales,Path,-34.087802,151.008285,NULL,370
Tunnel,9,Tunnel Road,Helensburgh,2508,New South Wales,Lift,-34.177189,150.994246,NULL,371
Tunnel,9,Tunnel Road,Helensburgh,2508,New South Wales,Stairs,-34.177147,150.994085,NULL,372
Maitland,360,Maitland Road,Hexham,2322,New South Wales,Stairs,-32.828752,151.684320,NULL,373
High,NULL,NULL,Maitland,2320,New South Wales,Stairs,-32.741327,151.564424,NULL,374
Le Darcy,14,Anzac Street,South Maitland,2320,New South Wales,Ramp,-32.741972,151.564195,NULL,375
Hilldale,179,Hilldale Road,Hilldale,2420,New South Wales,Ramp,-32.504484,151.649805,NULL,376
The Boulevarde,NULL,The Boulevarde,Holsworthy,2173,New South Wales,Stairs,-33.962927,150.956504,NULL,377
The Boulevarde,NULL,The Boulevarde,Holsworthy,2173,New South Wales,Ramp,-33.962979,150.956456,NULL,378
The Boulevarde,25,The Boulevarde,Holsworthy,2173,New South Wales,Lift,-33.962829,150.956351,NULL,379
Loftus,11,Station Street,Homebush,2140,New South Wales,Stairs,-33.866419,151.086421,NULL,380
The Crescent,22,The Crescent,Homebush,2140,New South Wales,Ramp,-33.866968,151.086107,NULL,381
The Crescent,22,The Crescent,Homebush,2140,New South Wales,Stairs,-33.866926,151.086095,NULL,382
Hunter,21,Florence Street,Hornsby,2077,New South Wales,Ramp,-33.703839,151.099774,NULL,383
George,6,Florence Street,Hornsby,2077,New South Wales,Ramp,-33.703553,151.098842,NULL,384
George,6,Florence Street,Hornsby,2077,New South Wales,Stairs,-33.703569,151.098831,NULL,385
George,6,Florence Street,Hornsby,2077,New South Wales,Ramp,-33.703735,151.098746,NULL,386
Station,240-242,Pacific Highway,Hornsby,2077,New South Wales,Path,-33.703479,151.098091,NULL,387
Wardell,2,Dudley Street,Marrickville,2204,New South Wales,Stairs,-33.911058,151.141146,NULL,388
Duntroon,116,Duntroon Street,Hurlstone Park,2193,New South Wales,Path,-33.910189,151.132541,NULL,389
Forest,231,Forest Road,Hurstville,2220,New South Wales,Stairs,-33.967034,151.102847,NULL,390
Ormonde,NULL,Ormonde Parade,Hurstville,2220,New South Wales,Stairs,-33.967684,151.102359,NULL,391
Ormonde,30,Ormonde Parade,Hurstville,2220,New South Wales,Lift,-33.967632,151.102288,NULL,392
Forest,249,Forest Road,Hurstville,2220,New South Wales,Ramp,-33.966517,151.101902,NULL,393
Forest,249,Forest Road,Hurstville,2220,New South Wales,Escalators,-33.966517,151.101902,NULL,394
Ingleburn,1890,Ingleburn Road,Ingleburn,2565,New South Wales,Stairs,-33.997438,150.864875,NULL,395
Ingleburn,2,Oxford Road,Ingleburn,2565,New South Wales,Ramp,-33.997602,150.864618,NULL,396
Ingleburn,3,Ingleburn Road,Ingleburn,2565,New South Wales,Stairs,-33.997889,150.864377,NULL,397
Stanley,NULL,NULL,Ingleburn,2565,New South Wales,Ramp,-33.997421,150.864313,NULL,398
Stanley,45,Stanley Road,Ingleburn,2565,New South Wales,Stairs,-33.997576,150.864010,NULL,399
Departure,1072,Airport Drive,Mascot,2020,New South Wales,Escalators,-33.935181,151.166541,NULL,400
Departure,1072,Airport Drive,Mascot,2020,New South Wales,Lift,-33.935207,151.166470,NULL,401
Departure,1072,Airport Drive,Mascot,2020,New South Wales,Lift,-33.935198,151.166446,NULL,402
Railway,NULL,NULL,Jannali,2226,New South Wales,Ramp,-34.016091,151.064840,NULL,403
Railway,63,Railway Crescent,Jannali,2226,New South Wales,Path,-34.015883,151.064756,NULL,404
Mitchell,3A,Jannali Avenue,Jannali,2226,New South Wales,Ramp,-34.015994,151.064370,NULL,405
Harris,27A,Harvey Street,Pyrmont,2009,New South Wales,Ramp,-33.867262,151.192430,NULL,406
Harvey,27,Harvey Street,Pyrmont,2009,New South Wales,Stairs,-33.867162,151.192075,NULL,407
Chapman,7,Victoria Road,Glebe,2037,New South Wales,Stairs,-33.875320,151.178614,NULL,408
Chapman,12,Maxwell Road,Forest Lodge,2037,New South Wales,Ramp,-33.875338,151.178597,NULL,409
Chapman,12,Maxwell Road,Forest Lodge,2037,New South Wales,Ramp,-33.875560,151.178368,NULL,410
Goldsmith,273,Great Western Highway,Katoomba,2780,New South Wales,Ramp,-33.711948,150.312168,NULL,411
Bathurst,77,Bathurst Road,Katoomba,2780,New South Wales,Ramp,-33.712276,150.312138,NULL,412
Bathurst,75,Bathurst Road,Katoomba,2780,New South Wales,Lift,-33.712282,150.311982,NULL,413
Bathurst,287,Bathurst Road,Katoomba,2780,New South Wales,Stairs,-33.712252,150.311784,NULL,414
West Dapto,3,West Dapto Road,Kembla Grange,2526,New South Wales,Ramp,-34.470126,150.817796,NULL,415
Railway,35,Bong Bong Street,Kiama,2533,New South Wales,Path,-34.672599,150.854366,NULL,416
Werona,23A,Werona Avenue,Killara,2071,New South Wales,Stairs,-33.765694,151.162099,NULL,417
Culworth,18,Culworth Avenue,Killara,2071,New South Wales,Stairs,-33.765852,151.161797,NULL,418
Victoria,NULL,Darlinghurst Road,Potts Point,2011,New South Wales,Stairs,-33.874031,151.222503,NULL,419
Victoria,NULL,Darlinghurst Road,Potts Point,2011,New South Wales,Lift,-33.874269,151.222204,NULL,420
Victoria,NULL,Darlinghurst Road,Potts Point,2011,New South Wales,Stairs,-33.874237,151.222195,NULL,421
Kingsgrove,1,Commercial Road,Kingsgrove,2208,New South Wales,Stairs,-33.940375,151.101084,NULL,422
Kingsgrove,231,Kingsgrove Road,Kingsgrove,2208,New South Wales,Lift,-33.940480,151.100874,NULL,423
Kingsgrove,1,Commercial Road,Kingsgrove,2208,New South Wales,Stairs,-33.940457,151.100856,NULL,424
Richmond,NULL,NULL,Kingswood,2747,New South Wales,Ramp,-33.758233,150.720239,NULL,425
Great Western,NULL,NULL,Kingswood,2747,New South Wales,Lift,-33.758426,150.720233,NULL,426
Richmond,NULL,NULL,Kingswood,2747,New South Wales,Stairs,-33.758233,150.720116,NULL,427
Great Western,NULL,NULL,Kingswood,2747,New South Wales,Stairs,-33.758367,150.720071,NULL,428
Oak,166,Oak Road,Kirrawee,2232,New South Wales,Path,-34.034911,151.071020,NULL,429
Regent,11,Railway Parade,Kogarah,2217,New South Wales,Stairs,-33.962796,151.132691,NULL,430
Regent,1,Railway Parade,Kogarah,2217,New South Wales,Lift,-33.962746,151.132687,NULL,431
Station,7,Railway Parade,Kogarah,2217,New South Wales,Stairs,-33.962605,151.132201,NULL,432
Station,7,Railway Parade,Kogarah,2217,New South Wales,Lift,-33.962643,151.132191,NULL,433
Station,14,Station Street,Kogarah,2217,New South Wales,Stairs,-33.962688,151.132145,NULL,434
Station,12,Station Street,Kogarah,2217,New South Wales,Ramp,-33.962795,151.132102,NULL,435
Glenrock,38,Brisbane Water Drive,Koolewong,2256,New South Wales,Stairs,-33.466133,151.318476,NULL,436
Glenrock,138,Glenrock Parade,Koolewong,2256,New South Wales,Stairs,-33.466144,151.318369,NULL,437
Park,202,Park Avenue,Kotara,2289,New South Wales,Stairs,-32.941769,151.698059,NULL,438
Kotara,7-9,Kotara Place,Kotara,2289,New South Wales,Ramp,-32.941369,151.697463,NULL,439
The Boulevarde,60A,The Boulevarde,Lakemba,2195,New South Wales,Lift,-33.920101,151.076370,NULL,440
Railway,44,Railway Parade,Lakemba,2195,New South Wales,Lift,-33.919880,151.076251,NULL,441
Railway,44,Railway Parade,Lakemba,2195,New South Wales,Stairs,-33.919759,151.076133,NULL,442
Explorers,215,Explorers Road,Lapstone,2773,New South Wales,Ramp,-33.773278,150.642635,NULL,443
Explorers,215,Explorers Road,Lapstone,2773,New South Wales,Stairs,-33.773559,150.642610,NULL,444
Honour,7,Honour Avenue,Lawson,2783,New South Wales,Ramp,-33.719507,150.430417,NULL,445
Great Western,1,Honour Avenue,Lawson,2783,New South Wales,Ramp,-33.719142,150.430060,NULL,446
Lotus,6,Loftus Street,Lawson,2783,New South Wales,Ramp,-33.718972,150.429606,NULL,447
Great Western,289,A32,Lawson,2783,New South Wales,Ramp,-33.719435,150.429499,NULL,448
James,130,James Street,Lilyfield,2040,New South Wales,Lift,-33.874980,151.155035,NULL,449
James,130,James Street,Lilyfield,2040,New South Wales,Stairs,-33.874994,151.155017,NULL,450
City West Link,71,Hubert Street,Lilyfield,2040,New South Wales,Path,-33.874998,151.153580,NULL,451
Monier,2,Monier Square,Villawood,2163,New South Wales,Ramp,-33.881894,150.985102,NULL,452
Christina,NULL,Christina Road,Villawood,2163,New South Wales,Ramp,-33.881263,150.984962,NULL,453
Rickard,199,Rickard Road,Leppington,2179,New South Wales,Stairs,-33.954439,150.808266,NULL,454
Rickard,187,Rickard Road,Leppington,2179,New South Wales,Lift,-33.954515,150.808246,NULL,455
O'Sullivan,2,O'Sullivan Road,Leumeah,2560,New South Wales,Lift,-34.050674,150.830805,NULL,456
Plough Inn,NULL,Plough Inn Road,Leumeah,2560,New South Wales,Path,-34.050312,150.830767,NULL,457
Old Leumeah,4,O'Sullivan Road,Leumeah,2560,New South Wales,Ramp,-34.050801,150.830725,NULL,458
Old Leumeah,2,O'Sullivan Road,Leumeah,2560,New South Wales,Stairs,-34.050813,150.830702,NULL,459
O'Sullivan,2,O'Sullivan Road,Leumeah,2560,New South Wales,Stairs,-34.050895,150.830574,NULL,460
Plough Inn,NULL,Plough Inn Road,Leumeah,2560,New South Wales,Lift,-34.050482,150.830560,NULL,461
O'Sullivan,4,O'Sullivan Road,Leumeah,2560,New South Wales,Ramp,-34.051029,150.830433,NULL,462
Railway,133,Leura Mall,Leura,2780,New South Wales,Stairs,-33.712120,150.331128,NULL,463
Thomas,4,Victoria Street,Lewisham,2049,New South Wales,Stairs,-33.893109,151.147598,NULL,464
Railway,2,Victoria Street,Lewisham,2049,New South Wales,Stairs,-33.893635,151.147544,NULL,465
Hudson,2,McGill Street,Lewisham,2049,New South Wales,Path,-33.893850,151.143462,NULL,466
Smith,16,Flour Mill Way,Summer Hill,2130,New South Wales,Path,-33.893786,151.143342,NULL,467
Church,31A,Church Street,Lidcombe,2141,New South Wales,Path,-33.863531,151.045064,NULL,468
Church,29,Church Street,Lidcombe,2141,New South Wales,Lift,-33.863460,151.044792,NULL,469
Railway,NULL,Railway Parade,Lidcombe,2141,New South Wales,Stairs,-33.863869,151.044644,NULL,470
Railway,NULL,Railway Parade,Lidcombe,2141,New South Wales,Lift,-33.863867,151.044606,NULL,471
Church,NULL,Church Street,Lidcombe,2141,New South Wales,Stairs,-33.863380,151.044554,NULL,472
Railway,64,Railway Street,Lidcombe,2141,New South Wales,Stairs,-33.863756,151.044279,NULL,473
Catherine,383,A4,Lilyfield,2040,New South Wales,Ramp,-33.874195,151.164823,NULL,474
Catherine,383,A4,Lilyfield,2040,New South Wales,Stairs,-33.874115,151.164768,NULL,475
Great Western,807,Great Western Highway,Linden,2778,New South Wales,Path,-33.715330,150.505321,NULL,476
Burke,NULL,NULL,Linden,2778,New South Wales,Stairs,-33.714744,150.504366,NULL,477
Lindfield,1,Lindfield Avenue,Lindfield,2070,New South Wales,Stairs,-33.775654,151.169509,NULL,478
Lindfield,9,Lindfield Avenue,Lindfield,2070,New South Wales,Stairs,-33.775288,151.169385,NULL,479
Lindfield,9,Lindfield Avenue,Lindfield,2070,New South Wales,Ramp,-33.775267,151.169370,NULL,480
Pacific,1-5,Tryon Place,Lindfield,2070,New South Wales,Stairs,-33.775954,151.169300,NULL,481
Lindfield,NULL,NULL,Lindfield,2070,New South Wales,Stairs,-33.775087,151.169230,NULL,482
Pacific,1-5,Tryon Place,Lindfield,2070,New South Wales,Ramp,-33.775738,151.169107,NULL,483
Pacific,331,A1,Lindfield,2070,New South Wales,Stairs,-33.775702,151.169076,NULL,484
Pacific,58,Railway Crescent,Lisarow,2250,New South Wales,Stairs,-33.382184,151.370179,NULL,485
Pacific,58,Railway Crescent,Lisarow,2250,New South Wales,Path,-33.382192,151.370165,NULL,486
Railway,5,Awaba Street,Lisarow,2250,New South Wales,Stairs,-33.382071,151.370084,NULL,487
Railway,5,Awaba Street,Lisarow,2250,New South Wales,Path,-33.382059,151.370071,NULL,488
Main,114,Main Street,Lithgow,2790,New South Wales,Path,-33.480925,150.156929,NULL,489
Railway,57,Railway Parade,Lithgow,2790,New South Wales,Path,-33.480516,150.156706,NULL,490
Moore,140,Bigge Street,Liverpool,2170,New South Wales,Path,-33.923146,150.927698,NULL,491
Biggs,256,Bigge Street,Liverpool,2170,New South Wales,Lift,-33.924384,150.926997,NULL,492
Biggs,256,Bigge Street,Liverpool,2170,New South Wales,Stairs,-33.924304,150.926937,NULL,493
Station,238,Station Lane,Lochinvar,2321,New South Wales,Ramp,-32.720483,151.450531,NULL,494
Station,NULL,NULL,Lochinvar,2321,New South Wales,Ramp,-32.720394,151.450481,NULL,495
Pitt,NULL,NULL,Loftus,2232,New South Wales,Ramp,-34.044999,151.051388,NULL,496
Loftus,113,Loftus Lane,Loftus,2232,New South Wales,Ramp,-34.045454,151.051209,NULL,497
Recycling,LOT 1,Springhill Road,Spring Hill,2500,New South Wales,Stairs,-34.454811,150.875214,NULL,498
Menangle,NULL,Menangle Road,Campbelltown,2560,New South Wales,Lift,-34.072492,150.797478,NULL,499
Menangle,NULL,Menangle Road,Campbelltown,2560,New South Wales,Lift,-34.072217,150.797388,NULL,500
Menangle,NULL,Menangle Road,Campbelltown,2560,New South Wales,Stairs,-34.072553,150.797159,NULL,501
Menangle,NULL,Menangle Road,Campbelltown,2560,New South Wales,Stairs,-34.072266,150.797075,NULL,502
Burren,71,Burren Street,Newtown,2042,New South Wales,Stairs,-33.896791,151.185386,NULL,503
Railway,278,Railway Parade,Macquarie Fields,2564,New South Wales,Stairs,-33.984842,150.879078,NULL,504
Railway,276,Railway Parade,Macquarie Fields,2564,New South Wales,Ramp,-33.984966,150.878937,NULL,505
Lane Cove,NULL,NULL,Macquarie Park,2113,New South Wales,Lift,-33.785444,151.128497,NULL,506
