StationName,StreetNumber,StreetName,Suburb,PostCode,State,EntranceType,EntranceLatitude,EntranceLongitude,ExitNumber,StopID
Lane Cove,NULL,NULL,Macquarie Park,2113,New South Wales,Escalators,-33.785368,151.128445,NULL,507
Lane Cove,37a,Waterloo Road,North Ryde,2113,New South Wales,Escalators,-33.785078,151.128004,NULL,508
Lane Cove,37a,Waterloo Road,North Ryde,2113,New South Wales,Lift,-33.785062,151.127979,NULL,509
Herring,NULL,NULL,Macquarie Park,2113,New South Wales,Lift,-33.777435,151.118471,NULL,510
Herring,175,Herring Road,Macquarie Park,2113,New South Wales,Escalators,-33.777416,151.118413,NULL,511
Herring,NULL,NULL,Macquarie Park,2109,New South Wales,Escalators,-33.777211,151.118104,NULL,512
Herring,NULL,NULL,Macquarie Park,2109,New South Wales,Lift,-33.777168,151.118093,NULL,513
Station,NULL,Station Street,Maitland,2320,New South Wales,Path,-32.737747,151.552236,NULL,514
Harvey,62,Railway Road,Marayong,2148,New South Wales,Stairs,-33.746220,150.900311,NULL,515
Harvey,64,Railway Road,Marayong,2148,New South Wales,Lift,-33.746017,150.900309,NULL,516
Railway,62,Railway Road,Marayong,2148,New South Wales,Stairs,-33.746230,150.900047,NULL,517
Railway,62,Railway Road,Marayong,2148,New South Wales,Lift,-33.746022,150.900042,NULL,518
Marion,2A,Marion Street,Haberfield,2045,New South Wales,Path,-33.883915,151.144996,NULL,519
Station,12,Station Street,Marrickville,2204,New South Wales,Path,-33.913975,151.153316,NULL,520
Illawarra,10,Station Street,Marrickville,2204,New South Wales,Stairs,-33.913757,151.153224,NULL,521
Illawarra,10,Station Street,Marrickville,2204,New South Wales,Lift,-33.913781,151.153181,NULL,522
Illawarra,2,Station Street,Marrickville,2204,New South Wales,Lift,-33.913835,151.153151,NULL,523
Illawarra,2,Station Street,Marrickville,2204,New South Wales,Stairs,-33.913863,151.153138,NULL,524
Macquarie,65,Martin Place,Sydney,2000,New South Wales,Stairs,-33.867962,151.211624,1,525
Phillip,158,Phillip Street,Sydney,2000,New South Wales,Lift,-33.867725,151.211419,4,526
Phillip,NULL,NULL,Sydney,2000,New South Wales,Stairs,-33.867961,151.211355,2,527
Elizabeth,NULL,NULL,Sydney,2000,New South Wales,Stairs,-33.867709,151.210828,5,528
Elizabeth,39,Elizabeth Street,Sydney,2000,New South Wales,Stairs,-33.867949,151.210511,6,529
Elizabeth,48,Martin Place,Sydney,2000,New South Wales,Stairs,-33.867730,151.210204,7,530
Grace,2,Cory Street,Martins Creek,2420,New South Wales,Ramp,-32.558481,151.618412,NULL,531
Wollondilly,1,Wollondilly Street,Marulan,2579,New South Wales,Path,-34.709501,150.005677,NULL,532
Railway,1,Wollondilly Street,Marulan,2579,New South Wales,Path,-34.709599,150.005669,NULL,533
Bourke,32,John Street,Mascot,2020,New South Wales,Stairs,-33.923159,151.187392,NULL,534
Bourke,32,John Street,Mascot,2020,New South Wales,Escalators,-33.923158,151.187362,NULL,535
Bourke,7,Bourke Street,Mascot,2020,New South Wales,Lift,-33.923363,151.187339,NULL,536
Constitution,64,Constitution Road,Meadowbank,2114,New South Wales,Lift,-33.815669,151.090224,NULL,537
Constitution,64,Constitution Road,Meadowbank,2114,New South Wales,Stairs,-33.815795,151.090208,NULL,538
Bank,NULL,Bank Street,Meadowbank,2114,New South Wales,Lift,-33.815627,151.089939,NULL,539
Bank,27,Bank Street,Meadowbank,2114,New South Wales,Ramp,-33.815555,151.089916,NULL,540
Great Western,50,A32,Medlow Bath,2780,New South Wales,Ramp,-33.674654,150.281141,NULL,541
Great Western,1,Atlingworth Parade,Medlow Bath,2780,New South Wales,Stairs,-33.672953,150.280391,NULL,542
Stevens,NULL,Stevens Road,Menangle,2568,New South Wales,Ramp,-34.125394,150.744180,NULL,543
Stevens,NULL,Stevens Road,Menangle,2568,New South Wales,Path,-34.125855,150.744066,NULL,544
Racecourse,72,Racecourse Avenue,Menangle Park,2563,New South Wales,Ramp,-34.103381,150.745079,NULL,545
Racecourse,72,Racecourse Avenue,Menangle Park,2563,New South Wales,Ramp,-34.103385,150.744950,NULL,546
Railway,91,Merrylands Road,Merrylands,2160,New South Wales,Ramp,-33.836695,150.992669,NULL,547
Terminal,1,Terminal Place,Merrylands,2160,New South Wales,Ramp,-33.836314,150.992666,NULL,548
Railway,91,Merrylands Road,Merrylands,2160,New South Wales,Stairs,-33.836805,150.992561,NULL,549
Railway,91,Merrylands Road,Merrylands,2160,New South Wales,Lift,-33.836906,150.992375,NULL,550
Railway,126,Merrylands Road,Merrylands,2160,New South Wales,Ramp,-33.836948,150.992327,NULL,551
Terminal,137,Merrylands Road,Merrylands,2160,New South Wales,Stairs,-33.836582,150.992281,NULL,552
Terminal,116,Railway Terrace,Merrylands,2160,New South Wales,Lift,-33.836790,150.992228,NULL,553
Terminal,137,Merrylands Road,Merrylands,2160,New South Wales,Stairs,-33.836715,150.992163,NULL,554
Railway,126,Merrylands Road,Merrylands,2160,New South Wales,Stairs,-33.837154,150.992075,NULL,555
Terminal,131,Merrylands Road,Merrylands,2160,New South Wales,Ramp,-33.836851,150.992015,NULL,556
Terminal,134,Merrylands Road,Merrylands,2160,New South Wales,Stairs,-33.837050,150.991837,NULL,557
McCubbin,8,McCubbin Close,Metford,2323,New South Wales,Stairs,-32.765478,151.618292,NULL,558
McCubbin,8,McCubbin Close,Metford,2323,New South Wales,Lift,-32.765360,151.618132,NULL,559
Ennis,10,Ennis Road,Milsons Point,2061,New South Wales,Ramp,-33.845795,151.212403,NULL,560
Alfred,NULL,NULL,Milsons Point,2061,New South Wales,Path,-33.845946,151.211719,NULL,561
Tocal,392,Tocal Road,Mindaribba,2320,New South Wales,Ramp,-32.668350,151.584553,NULL,562
North,8,North Street,Minnamurra,2533,New South Wales,Ramp,-34.626330,150.853009,NULL,563
Minto,2,Minto Road,Minto,2566,New South Wales,Stairs,-34.027504,150.842600,NULL,564
Minto,4,Minto Road,Minto,2566,New South Wales,Lift,-34.027644,150.842564,NULL,565
Minto,2,Minto Road,Minto,2566,New South Wales,Ramp,-34.027769,150.842550,NULL,566
Somerset,9,Wiltshire Street,Minto,2566,New South Wales,Stairs,-34.027220,150.842327,NULL,567
Somerset,9,Wiltshire Street,Minto,2566,New South Wales,Lift,-34.027466,150.842237,NULL,568
Somerset,11,Wiltshire Street,Minto,2566,New South Wales,Ramp,-34.027693,150.842231,NULL,569
Kiora,92,Kiora Road,Miranda,2228,New South Wales,Stairs,-34.036075,151.101970,NULL,570
Kiora,92,Kiora Road,Miranda,2228,New South Wales,Ramp,-34.036075,151.101970,NULL,571
Railway,38,Railway Parade,Mittagong,2575,New South Wales,Stairs,-34.452638,150.448385,NULL,572
Regent,1,Station Street,Mittagong,2575,New South Wales,Stairs,-34.452403,150.448362,NULL,573
Macquarie,108,Macquarie Street,Morisset,2264,New South Wales,Lift,-33.109036,151.488290,NULL,574
Macquarie,108,Macquarie Street,Morisset,2264,New South Wales,Ramp,-33.109029,151.488249,NULL,575
Dora,108,Macquarie Street,Morisset,2264,New South Wales,Lift,-33.108838,151.488156,NULL,576
Macquarie,108,Macquarie Street,Morisset,2264,New South Wales,Stairs,-33.109079,151.488153,NULL,577
Dora,108,Macquarie Street,Morisset,2264,New South Wales,Stairs,-33.108931,151.488060,NULL,578
Dora,83,B53,Morisset,2264,New South Wales,Ramp,-33.108950,151.487884,NULL,579
Coleborne,103-105,Railway Parade,Mortdale,2223,New South Wales,Lift,-33.971122,151.081084,NULL,580
Coleborne,103-105,Railway Parade,Mortdale,2223,New South Wales,Stairs,-33.971239,151.081009,NULL,581
Cook,2,Morts Road,Mortdale,2223,New South Wales,Lift,-33.971040,151.080879,NULL,582
Cook,2A,Morts Road,Mortdale,2223,New South Wales,Stairs,-33.971165,151.080809,NULL,583
Argyle,NULL,NULL,Moss Vale,2577,New South Wales,Path,-34.548389,150.372103,NULL,584
Lackey,247,Argyle Street,Moss Vale,2577,New South Wales,Path,-34.547592,150.371870,NULL,585
Pacific,599,Pacific Highway,Mount Colah,2079,New South Wales,Stairs,-33.671292,151.115098,NULL,586
North,NULL,NULL,Mount Druitt,2770,New South Wales,Ramp,-33.769056,150.820321,NULL,587
North,NULL,NULL,Mount Druitt,2770,New South Wales,Stairs,-33.768884,150.820314,NULL,588
North,NULL,NULL,Mount Druitt,2770,New South Wales,Lift,-33.769032,150.820186,NULL,589
North,53,North Parade,Mount Druitt,2770,New South Wales,Stairs,-33.769402,150.820177,NULL,590
Beames,211,Beames Avenue,Mount Druitt,2770,New South Wales,Lift,-33.769777,150.820169,NULL,591
North,53,North Parade,Mount Druitt,2770,New South Wales,Lift,-33.769410,150.820142,NULL,592
Beames,NULL,NULL,Mount Druitt,2770,New South Wales,Ramp,-33.769957,150.820108,NULL,593
Beames,1,Coates Street,Mount Druitt,2770,New South Wales,Stairs,-33.769759,150.819919,NULL,594
North,51,North Parade,Mount Druitt,2770,New South Wales,Lift,-33.768855,150.819857,NULL,595
North,51,North Parade,Mount Druitt,2770,New South Wales,Stairs,-33.769032,150.819779,NULL,596
North,NULL,NULL,Mount Druitt,2770,New South Wales,Stairs,-33.768833,150.819593,NULL,597
Harwood,7,Harwood Avenue,Mount Kuring-Gai,2080,New South Wales,Stairs,-33.653827,151.137012,NULL,598
Harwood,7,Harwood Avenue,Mount Kuring-Gai,2080,New South Wales,Ramp,-33.653823,151.136988,NULL,599
Pacific,787-795,Pacific Highway,Mount Kuring-Gai,2080,New South Wales,Ramp,-33.653769,151.136568,NULL,600
Patrick,35a,Station Street,Mount Victoria,2786,New South Wales,Stairs,-33.588267,150.257054,NULL,601
Station,35a,Station Street,Mount Victoria,2786,New South Wales,Stairs,-33.588175,150.256825,NULL,602
Mulgrave,122,Mulgrave Road,Mulgrave,2756,New South Wales,Ramp,-33.626498,150.829898,NULL,603
Elizabeth,NULL,NULL,Sydney,2000,New South Wales,Stairs,-33.874934,151.209861,NULL,604
Elizabeth,149,Liverpool Street,Sydney,2000,New South Wales,Escalators,-33.876913,151.209825,NULL,605
Elizabeth,287,Elizabeth Street,Sydney,2000,New South Wales,Stairs,-33.876529,151.209806,NULL,606
Elizabeth,149,Liverpool Street,Sydney,2000,New South Wales,Lift,-33.876591,151.209734,NULL,607
Elizabeth,201-217,Elizabeth Street,Sydney,2000,New South Wales,Escalators,-33.874827,151.209529,NULL,608
Liverpool,299,Elizabeth Street,Sydney,2000,New South Wales,Escalators,-33.876712,151.209218,NULL,609
Liverpool,299,Elizabeth Street,Sydney,2000,New South Wales,Stairs,-33.876698,151.209194,NULL,610
Market,35,Market Street,Muswellbrook,2333,New South Wales,Ramp,-32.267441,150.890863,NULL,611
Market,35,Market Street,Muswellbrook,2333,New South Wales,Stairs,-32.267585,150.890803,NULL,612
Market,18,Market Street,Muswellbrook,2333,New South Wales,Stairs,-32.267426,150.890461,NULL,613
Goonak,45,Narara Crescent,Narara,2250,New South Wales,Path,-33.394781,151.344553,NULL,614
Narara Valley,44,Narara Valley Drive,Narara,2250,New South Wales,Stairs,-33.394594,151.344433,NULL,615
Narara Valley,44,Narara Valley Drive,Narara,2250,New South Wales,Path,-33.394606,151.344415,NULL,616
Hannans,117,Hannans Road,Narwee,2209,New South Wales,Path,-33.947500,151.070799,NULL,617
Hurst,3,Fisher Place,Narwee,2209,New South Wales,Path,-33.947831,151.070644,NULL,618
Hannell,10,Dangar Street,Wickham,2293,New South Wales,Path,-32.924128,151.759867,NULL,619
Hannell,27,Station Street,Wickham,2293,New South Wales,Path,-32.924432,151.759635,NULL,620
Charles,27,Station Street,Wickham,2293,New South Wales,Path,-32.923917,151.759388,NULL,621
Cooper,850,Hunter Street,Newcastle West,2302,New South Wales,Path,-32.924456,151.758950,NULL,622
King,324A,King Street,Newtown,2042,New South Wales,Lift,-33.897948,151.178891,NULL,623
King,324A,King Street,Newtown,2042,New South Wales,Ramp,-33.897876,151.178881,NULL,624
Kathleen Morreau,23,Kathleen Morreau Road,Niagara Park,2250,New South Wales,Stairs,-33.383228,151.354572,NULL,625
Washington,23,Kathleen Morreau Road,Niagara Park,2250,New South Wales,Stairs,-33.383070,151.354404,NULL,626
Denman,54,Denman Parade,Normanhurst,2076,New South Wales,Path,-33.720908,151.097151,NULL,627
Malsbury,2,Eaton Avenue,Normanhurst,2076,New South Wales,Path,-33.720647,151.096902,NULL,628
Delhi,19,Delhi Road,North Ryde,2113,New South Wales,Lift,-33.794552,151.137925,NULL,629
Delhi,19,Delhi Road,North Ryde,2113,New South Wales,Escalators,-33.794514,151.137923,NULL,630
Queen,81,Queen Street,North Strathfield,2137,New South Wales,Stairs,-33.859162,151.088501,NULL,631
Hamilton,2A,Hamilton Street,North Strathfield,2137,New South Wales,Ramp,-33.859706,151.088207,NULL,632
Blue,42,Blue Street,North Sydney,2060,New South Wales,Path,-33.841022,151.207498,NULL,633
Blue,32,Blue Street,North Sydney,2060,New South Wales,Path,-33.841003,151.207374,NULL,634
Station,4,Flinders Street,North Wollongong,2500,New South Wales,Stairs,-34.412350,150.891562,NULL,635
Station,2a,Flinders Street,North Wollongong,2500,New South Wales,Path,-34.412118,150.891559,NULL,636
Station,2a,Flinders Street,North Wollongong,2500,New South Wales,Lift,-34.412111,150.891528,NULL,637
Porter,18,Porter Street,North Wollongong,2500,New South Wales,Lift,-34.412085,150.891361,NULL,638
Porter,18,Porter Street,North Wollongong,2500,New South Wales,Path,-34.412087,150.891326,NULL,639
Porter,20,Porter Street,North Wollongong,2500,New South Wales,Stairs,-34.412306,150.891248,NULL,640
Pomeroy,27,Beronga Street,North Strathfield,2137,New South Wales,Ramp,-33.857557,151.087398,NULL,641
Stanford,NULL,Stanford Drive,Oak Flats,2529,New South Wales,Ramp,-34.571981,150.820611,NULL,642
Stanford,NULL,Stanford Drive,Oak Flats,2529,New South Wales,Stairs,-34.571888,150.820453,NULL,643
Stanford,NULL,Stanford Drive,Oak Flats,2529,New South Wales,Ramp,-34.571730,150.820208,NULL,644
Oatley,12A,Oatley Parade,Oatley,2223,New South Wales,Lift,-33.980228,151.079292,NULL,645
River,4,Mulga Road,Oatley,2223,New South Wales,Stairs,-33.980004,151.078968,NULL,646
Mulga,NULL,NULL,Oatley,2223,New South Wales,Lift,-33.980259,151.078761,NULL,647
Park,1,Park Street,Sydney Olympic Park,2127,New South Wales,Path,-33.846111,151.070683,NULL,648
Dawn Fraser,8,Dawn Fraser Avenue,Sydney Olympic Park,2127,New South Wales,Path,-33.846478,151.070287,NULL,649
Murray Rose,7,Murray Rose Avenue,Sydney Olympic Park,2127,New South Wales,Path,-33.846086,151.070081,NULL,650
Dawn Fraser,8,Dawn Fraser Avenue,Sydney Olympic Park,2127,New South Wales,Path,-33.846566,151.070046,NULL,651
Murray Rose,NULL,NULL,Sydney Olympic Park,2127,New South Wales,Stairs,-33.846173,151.069828,NULL,652
Dawn Fraser,10,Dawn Fraser Avenue,Sydney Olympic Park,2127,New South Wales,Stairs,-33.846706,151.069556,NULL,653
Murray Rose,11,Murray Rose Avenue,Sydney Olympic Park,2127,New South Wales,Ramp,-33.846343,151.069495,NULL,654
Dawn Fraser,NULL,NULL,Sydney Olympic Park,2127,New South Wales,Path,-33.846785,151.069456,NULL,655
Murray Rose,11,Murray Rose Avenue,Sydney Olympic Park,2127,New South Wales,Stairs,-33.846393,151.069391,NULL,656
Murray Rose,11,Murray Rose Avenue,Sydney Olympic Park,2127,New South Wales,Lift,-33.846394,151.069248,NULL,657
Dawn Fraser,NULL,NULL,Sydney Olympic Park,2127,New South Wales,Path,-33.846869,151.069215,NULL,658
Murray Rose,11,Murray Rose Avenue,Sydney Olympic Park,2127,New South Wales,Stairs,-33.846479,151.069006,NULL,659
Showground,1,Showground Road,Sydney Olympic Park,2127,New South Wales,Path,-33.846984,151.068271,NULL,660
Lady Carrington,42,Lady Carrington Road,Otford,2508,New South Wales,Stairs,-34.210526,151.005908,NULL,661
Lady Carrington,42,Lady Carrington Road,Otford,2508,New South Wales,Ramp,-34.210722,151.005521,NULL,662
Station,42,Lady Carrington Road,Otford,2508,New South Wales,Stairs,-34.211092,151.005504,NULL,663
Mill,NULL,NULL,Ourimbah,2258,New South Wales,Stairs,-33.359656,151.370276,NULL,664
Mill,80,Brownlee Street,Ourimbah,2258,New South Wales,Ramp,-33.359554,151.370108,NULL,665
Station,NULL,NULL,Ourimbah,2258,New South Wales,Path,-33.359695,151.369750,NULL,666
Station,NULL,NULL,Ourimbah,2258,New South Wales,Path,-33.359373,151.369735,NULL,667
Hay,NULL,NULL,Haymarket,2000,New South Wales,Path,-33.879254,151.202740,NULL,668
Hay,NULL,NULL,Haymarket,2000,New South Wales,Path,-33.879337,151.202620,NULL,669
Banks,134,Cahors Road,Padstow,2211,New South Wales,Path,-33.951684,151.032344,NULL,670
Howard,NULL,NULL,Padstow,2211,New South Wales,Ramp,-33.952094,151.032024,NULL,671
Memorial,132,Memorial Drive,Padstow,2211,New South Wales,Ramp,-33.951764,151.031979,NULL,672
Memorial,NULL,NULL,Padstow,2211,New South Wales,Path,-33.952005,151.031966,NULL,673
Memorial,NULL,NULL,Padstow,2211,New South Wales,Stairs,-33.951706,151.031930,NULL,674
Anderson,224,Weston Street,Panania,2213,New South Wales,Ramp,-33.954133,150.998297,NULL,675
Weston,224,Weston Street,Panania,2213,New South Wales,Ramp,-33.954404,150.998267,NULL,676
Station,3,Darcy Street,Parramatta,2150,New South Wales,Stairs,-33.817878,151.006321,NULL,677
Liverpool-Parramatta,10,Valentine Avenue,Parramatta,2150,New South Wales,Lift,-33.818237,151.005929,NULL,678
Liverpool-Parramatta,3,Darcy Street,Parramatta,2150,New South Wales,Stairs,-33.818198,151.005884,NULL,679
Liverpool-Parramatta,NULL,NULL,Parramatta,2150,New South Wales,Stairs,-33.817531,151.005003,NULL,680
Darcy,21,Darcy Street,Parramatta,2150,New South Wales,Lift,-33.817078,151.004916,NULL,681
Liverpool-Parramatta,87,Argyle Street,Parramatta,2150,New South Wales,Lift,-33.817376,151.004695,NULL,682
Darcy,21R,Darcy Street,Parramatta,2150,New South Wales,Stairs,-33.816980,151.004680,NULL,683
Liverpool-Parramatta,NULL,Station Street East,Parramatta,2150,New South Wales,Escalators,-33.817572,151.004509,NULL,684
Liverpool-Parramatta,87,Argyle Street,Parramatta,2150,New South Wales,Stairs,-33.817204,151.004443,NULL,685
Main,19,Railway Street,Paterson,2421,New South Wales,Stairs,-32.602370,151.614764,NULL,686
Wentworth,221,Wentworth Avenue,Pendle Hill,2145,New South Wales,Ramp,-33.801676,150.957003,NULL,687
Wentworth,227,Wentworth Avenue,Pendle Hill,2145,New South Wales,Stairs,-33.801271,150.956549,NULL,688
Joyce,152B,Pendle Way,Pendle Hill,2145,New South Wales,Ramp,-33.801352,150.955929,NULL,689
Joyce,152B,Pendle Way,Pendle Hill,2145,New South Wales,Path,-33.801308,150.955850,NULL,690
Railway,346,Pennant Hills Road,Pennant Hills,2120,New South Wales,Stairs,-33.737930,151.072777,NULL,691
Railway,5,Ramsay Road,Pennant Hills,2120,New South Wales,Lift,-33.737955,151.072626,NULL,692
Yarrara,NULL,NULL,Pennant Hills,2120,New South Wales,Path,-33.737715,151.072606,NULL,693
Yarrara,NULL,NULL,Pennant Hills,2120,New South Wales,Stairs,-33.737723,151.072573,NULL,694
Railway,NULL,Railway Street,Pennant Hills,2120,New South Wales,Ramp,-33.738161,151.072564,NULL,695
Yarrara,5,Ramsay Road,Pennant Hills,2120,New South Wales,Lift,-33.737865,151.072498,NULL,696
Combewood,81,Lord Sheffield Circuit,Penrith,2750,New South Wales,Stairs,-33.749858,150.696576,NULL,697
Combewood,7,Station Street,Penrith,2750,New South Wales,Lift,-33.749851,150.696504,NULL,698
Jane,57,Great Western Highway,Penrith,2750,New South Wales,Stairs,-33.750290,150.696471,NULL,699
Jane,57,Great Western Highway,Penrith,2750,New South Wales,Lift,-33.750281,150.696433,NULL,700
Jane,7,Station Street,Penrith,2750,New South Wales,Stairs,-33.750188,150.696196,NULL,701
Penrose,901,Penrose Road,Penrose,2579,New South Wales,Path,-34.672305,150.212274,NULL,702
Kareela,310,Kareela Road,Penrose,2579,New South Wales,Path,-34.672160,150.212086,NULL,703
Bridge,NULL,NULL,Penshurst,2222,New South Wales,Stairs,-33.966081,151.088837,NULL,704
Laycock,10,The Strand,Penshurst,2222,New South Wales,Ramp,-33.966332,151.088801,NULL,705
Laycock,10,The Strand,Penshurst,2222,New South Wales,Stairs,-33.966319,151.088713,NULL,706
Bridge,5,Penshurst Street,Penshurst,2222,New South Wales,Lift,-33.966097,151.088668,NULL,707
Trafalgar,3,Regent Street,Petersham,2049,New South Wales,Stairs,-33.894022,151.155767,NULL,708
Terminus,36,Terminus Street,Petersham,2049,New South Wales,Stairs,-33.893606,151.155541,NULL,709
Prince,7,Campbell Street,Picton,2571,New South Wales,Stairs,-34.179648,150.612881,NULL,710
Station,7,Campbell Street,Picton,2571,New South Wales,Stairs,-34.179278,150.612730,NULL,711
Prince,7,Campbell Street,Picton,2571,New South Wales,Stairs,-34.179682,150.612704,NULL,712
Station,6,Campbell Street,Picton,2571,New South Wales,Lift,-34.179211,150.612664,NULL,713
Kurrawa,NULL,NULL,Point Clare,2250,New South Wales,Stairs,-33.446300,151.328526,NULL,714
Brisbane Water,47,Brisbane Water Drive,Point Clare,2250,New South Wales,Stairs,-33.446182,151.328264,NULL,715
Brisbane Water,47,Brisbane Water Drive,Point Clare,2250,New South Wales,Ramp,-33.446213,151.328219,NULL,716
Old Port,LOT 1,Darcy Road,Port Kembla,2505,New South Wales,Ramp,-34.477188,150.902856,NULL,717
Flinders,NULL,NULL,Port Kembla,2505,New South Wales,Stairs,-34.472979,150.887326,NULL,718
Flinders,2,Flinders Street,Port Kembla,2505,New South Wales,Stairs,-34.473129,150.887041,NULL,719
Punchbowl,715,Punchbowl Road,Punchbowl,2196,New South Wales,Stairs,-33.925252,151.055579,NULL,720
The Boulevarde,279A,The Boulevarde,Punchbowl,2196,New South Wales,Stairs,-33.925567,151.055571,NULL,721
Grandview,79,Grandview Street,Pymble,2073,New South Wales,Stairs,-33.744638,151.142273,NULL,722
Pacific,987,A1,Pymble,2073,New South Wales,Stairs,-33.744983,151.142198,NULL,723
Murray,94,Union Street,Pyrmont,2009,New South Wales,Path,-33.869535,151.197707,NULL,724
Pearce,44,Pearce Road,Quakers Hill,2763,New South Wales,Lift,-33.727310,150.886272,NULL,725
Pearce,46A,Pearce Road,Quakers Hill,2763,New South Wales,Stairs,-33.727215,150.886217,NULL,726
Railway,23,Railway Road,Quakers Hill,2763,New South Wales,Lift,-33.727431,150.886038,NULL,727
Railway,21,Railway Road,Quakers Hill,2763,New South Wales,Stairs,-33.727214,150.885887,NULL,728
Gibbons,NULL,NULL,Redfern,2016,New South Wales,Path,-33.892029,151.199511,NULL,729
Lawson,5,Lawson Street,Redfern,2016,New South Wales,Path,-33.891563,151.198824,NULL,730
Marian,NULL,NULL,Eveleigh,2015,New South Wales,Stairs,-33.892704,151.198181,NULL,731
Amy,4,Amy Street,Regents Park,2143,New South Wales,Path,-33.883351,151.024178,NULL,732
Park,401,Park Road,Regents Park,2143,New South Wales,Stairs,-33.883115,151.023793,NULL,733
Park,401,Park Road,Regents Park,2143,New South Wales,Ramp,-33.883246,151.023700,NULL,734
Blamey,2,Revesby Place,Revesby,2212,New South Wales,Stairs,-33.952707,151.015486,NULL,735
Marco,NULL,NULL,Revesby,2212,New South Wales,Lift,-33.952358,151.015319,NULL,736
Marco,NULL,NULL,Revesby,2212,New South Wales,Stairs,-33.952311,151.015277,NULL,737
Blamey,4,Revesby Place,Revesby,2212,New South Wales,Lift,-33.952736,151.015232,NULL,738
Blaxland,NULL,Blaxland Road,Rhodes,2138,New South Wales,Stairs,-33.830676,151.087236,NULL,739
Blaxland,NULL,Blaxland Road,Rhodes,2138,New South Wales,Lift,-33.830649,151.087223,NULL,740
Walker,4,Walker Street,Rhodes,2138,New South Wales,Lift,-33.830456,151.086876,NULL,741
Walker,4,Walker Street,Rhodes,2138,New South Wales,Stairs,-33.830640,151.086821,NULL,742
E Market,21,East Market Street,Richmond,2753,New South Wales,Stairs,-33.598771,150.752309,NULL,743
E Market,21,East Market Street,Richmond,2753,New South Wales,Ramp,-33.598854,150.752253,NULL,744
Garfield,86,West Parade,Riverstone,2765,New South Wales,Path,-33.679768,150.860729,NULL,745
Garfield,NULL,NULL,Riverstone,2765,New South Wales,Path,-33.679856,150.860520,NULL,746
Riverstone,1,Riverstone Parade,Riverstone,2765,New South Wales,Path,-33.679051,150.860440,NULL,747
Belmore,220,Belmore Road,Riverwood,2210,New South Wales,Path,-33.951470,151.052562,NULL,748
Belmore,NULL,NULL,Riverwood,2210,New South Wales,Stairs,-33.951600,151.052549,NULL,749
Geeves,NULL,NULL,Rockdale,2216,New South Wales,Stairs,-33.952303,151.136987,NULL,750
Geeves,NULL,NULL,Rockdale,2216,New South Wales,Lift,-33.952487,151.136861,NULL,751
Geeves,1A,Tramway Arcade,Rockdale,2216,New South Wales,Stairs,-33.952580,151.136844,NULL,752
Railway,88,Railway Street,Rockdale,2216,New South Wales,Ramp,-33.951910,151.136441,NULL,753
Railway,102,Railway Street,Rockdale,2216,New South Wales,Stairs,-33.952210,151.136280,NULL,754
Beames,NULL,NULL,Rooty Hill,2766,New South Wales,Stairs,-33.771882,150.844461,NULL,755
North,NULL,NULL,Rooty Hill,2766,New South Wales,Stairs,-33.771486,150.844284,NULL,756
